"human","affiliate_group"
"0x010b4b3d362aa4e353b33c97e6e0b1d4fc5c6c85","0xf4b6efd979adc206921537328a7328fdab99e85b"
"0x010ef78db088ae8fcf957c8a5aae00f4bf9148de","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0113c5e81ab5ea9b2958a6aef2e74d8da16430b5","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x011615c81664da8a0d8aa352bbfb412f2933c497","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0119f9af70c5ea8cd1e8fd3ea3f53a582ab2bd1f","0xeb614ef61367687704cd4628a68a02f3b10ce68c"
"0x011b83dd6b4ee81dcd6fd5ecd74f2771d544f618","0x1c43a8be1eea4875b9bfe096a8714ca38b78304b"
"0x01221fae2676139e61667e21791aa6a95a97e593","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0132398d2942adc5d8f146f4bf09ea03610a2f03","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0139f23fd9019140fa63d44653aa96ba0fff8e66","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0143ec0a43eceb96cf04b2d5ec7e6438d8627f65","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0144b12b11a8fd79a1b2b8988084f2dc4308e983","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x014a0de68cca7b53e71a336f0d16b21dd6ba0fc3","0x4e2564e5df6c1fb10c1a018538de36e4d5844de5"
"0x014c1f9f5af3719ce81223eef2809a1c7c318de0","0x43322adf67d969219d014d60c860966269f4f93e"
"0x0155f207a72597fbad8f61b32f7468ee0646268f","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0155fda08ca05b504ccd26eb37424d2ca5ebcb98","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01569ed99bb0e6a9c2e20673ef0e262ab3fcec1c","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x015ed0234f367607bf60089ee59f8171dbc0c5d3","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01682ab50978c5a549d4093d80d444ed3f2627a0","0xef63594eea262e3d6cf3b93143773ac65fafc2e6"
"0x016cc008a500b624ef0c6fa9f3d0b39e912fa20d","0xa7b485eae7ec8793f29c1ebb268455705c5b67af"
"0x016ee9b7495bebab393560020ae2ce930afdbe18","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01715c4881e0af5d2873698a136eae7bf68ada4f","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x017ef05bf9ce53ee050b72f27b967bacee862c42","0x59075e386576d770083748a5b474b1c5e7f99af2"
"0x0180f81014d10543a6002e796d1f0ee5787e84cf","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x018294d9816999e81433d151ff60ecfb1e2921bd","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x018adc4a38e07184a501a3c22b35ffae73575c4c","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x018df02d06860334f09ca79db0155f79c8816c73","0x4f21a0724c1abc3df4f157e245d5272c6d9c4735"
"0x018e76de01d6dc384c648dce79bbcf8d40df09ea","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x018f91f42ca516743bec671265bcc6f487c009cf","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0192caa5969bba09b406a63e267460f3b4073231","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01940d09f20437d85c3013a53e3a1574ed5cac7a","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x019e84a78e1137539bd6474652088ebdc158ad84","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x01a7d360dd1347b3f475e4bd7bec1fbcd7b70291","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01b3e3d9ed93edc0319af4ca737fbcb321763743","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01b4fa5ef585232b6fc518cbd618e78d950b560c","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x01b66f1b5449f9e5e73aabaf22a76a67af0171ca","0xbb9298d43d4bbe3db47cd96f24d186d57a672e73"
"0x01b854e802cb4be33d58f830bcd25ee083d52fec","0x44057a3af7f746bd4f957fe0b22b1f82423c2b4a"
"0x01c9ad0fd3053d1a8b9c02c20f50302cecb3eef7","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01d1b53db1f8c83de518df3740e5d35ce9aad9ed","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x01d23f6710b7e71a4fc845a59ceecb6f79b79db6","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x01d386daa216b4ac70615a0b46afa379a361f548","0xbb09fb833d5fa0a210fef144a9592e74a6e198df"
"0x01d7863a5fb56f552d9645f089d20882cb2e7a00","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01d8b36a576a147ee62ab096294e061cf96f2d8a","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x01dce345954dc82c48d5345a73534d3f857d6363","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01e060f78b7b5e686edab08157c5f75c266624b4","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01e2a5c7ffddfca3fb62e934843946a16a9bdf09","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01e4781c83c043eabff74f83814459c5fa1a14ca","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x01f3501451f35879fae83b231bd7990038d733aa","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x01f816b97cc42eac185e00e52bb62357c36c1567","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x01fd6cae69e828712630b80c0ed060e72c967de1","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x01fefee1bd01599500e3e6ec05d66e3f481b6c19","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02028ef87dd30d36f4f340e3d5466884893298ad","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0202ad5b682c0858c167be39b910de61a844a254","0x4e2564e5df6c1fb10c1a018538de36e4d5844de5"
"0x020b023ec2a2250b87b75dd5e039afe8bdf9c21b","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x020f6a2278ff89ee44b2f3246cd68cbdba1f99d8","0x4e2564e5df6c1fb10c1a018538de36e4d5844de5"
"0x021a2f00f33b5fd993eab3e1390ced1a0ac44774","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x021fcd589be16eb24121c53a2d8142ad450c5fb4","0xc64df4a72c62debbb46664303f5eebe749ae2c52"
"0x0220b9c91b8dc5cb88b7959e93451929499248cb","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x02218f0fd9ae6caabb59087088e74caa294d479a","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
